gene	baseMean	log2FoldChange	stat	pvalue	padj	Trat1_rep1	Trat1_rep2	Trat1_rep3	Trat2_rep1	Trat2_rep2	Trat2_rep3	Trat3_rep1	Trat3_rep2	Trat3_rep3
G34153	20.72842113	10.96315728	3.186393584	0.001440585	0.036999576	3.608186297	3.607771086	4.543710514	4.208749875	3.610142872	4.231005377	3.608029085	3.607798658	3.608388482
G33287	1055.132765	1.781821045	3.996995486	6.42E-05	0.0029116	10.52275222	10.98430047	10.64291589	8.67710062	9.421911768	9.391797407	9.198404666	9.769462643	9.101754342
G33810	18.35647792	12.12462741	3.539581682	0.000400762	0.013512544	2.826931798	2.82665241	3.644907694	2.829287469	2.828243134	2.830024009	2.826826059	2.826670975	3.111008975
G35044	22.9492948	11.34885648	3.305524629	0.000947988	0.027076491	4.283898515	3.183099907	3.186135051	3.187675237	3.185862944	3.18895262	3.183401683	3.953126214	3.183821565
G33333	31.47499759	8.914154501	4.094076443	4.24E-05	0.002006164	4.075185689	5.167828635	4.993411206	3.68257605	3.679282168	3.684894177	3.67479908	3.674307481	3.675564682
G33256	25.59038929	3.351655855	3.148516022	0.001641017	0.041065094	4.752002139	4.479820824	4.683104405	4.229216235	4.227712784	4.230284186	4.766420376	4.6709447	4.623367224
G33259	75.11667205	4.062910037	3.636884506	0.000275956	0.009779847	5.751320271	6.510902958	5.851829008	4.907235837	4.900160507	4.912201278	6.537578898	6.292313597	5.663727757
G35273	32.00761813	3.787463776	3.791479323	0.000149753	0.005837181	5.197259198	4.8301226	4.965190809	4.436513574	4.43445835	4.437971121	4.904750958	5.026355029	4.948990798
G33492	93.46092076	12.77310906	3.741858257	0.000182665	0.006830747	5.685373268	3.599730667	6.287740656	3.647716764	3.629490935	3.660021064	3.60310868	3.600093416	5.715552791
G35120	167.2732114	-1.656580484	-3.258637522	0.001119486	0.030704314	6.953145607	6.470873406	6.501701961	7.364093585	7.343209783	7.471223095	7.742049116	7.684993362	7.458135574
G35144	19.58502108	3.678703249	3.312928508	0.000923246	0.026461054	4.211738571	4.217064233	4.476198874	3.955412115	3.954526536	3.95604268	4.211330535	4.219904609	4.228846434
G34681	47.25668528	3.979131148	4.16149593	3.16E-05	0.001558829	5.550706516	5.636754167	5.490885159	4.7582101	4.754826745	4.760603265	5.707825706	5.246388466	5.606247011
G35103	15.88909409	11.16752074	3.249018371	0.00115804	0.031400249	4.155379799	3.087982952	3.0901982	3.091329279	3.089998856	3.092270896	3.088202392	3.088006404	3.675107895
G34870	8835.221837	2.692582502	6.399797857	1.56E-10	6.57E-08	13.99815284	13.70136626	14.09205585	9.777410898	10.36924956	11.07834881	12.57572415	13.03869289	12.37830957
G35303	31.16142372	-8.18949498	-5.635307089	1.75E-08	2.98E-06	4.37795802	4.377451469	4.380636266	4.916531007	5.184978134	4.937482692	4.959843385	4.740023381	4.67593008
G34941	2052.116715	2.383374093	5.860021207	4.63E-09	1.06E-06	11.46115331	11.88917385	12.01201721	9.305243687	9.506389017	8.437136089	10.21248892	10.4732741	10.66849166
G34942	15432.75125	3.152384914	7.603320922	2.89E-14	3.42E-11	14.73886607	14.62539551	15.29541672	11.74522965	11.6295668	11.4028524	11.85722021	12.68079462	13.26969946
G35310	316.6565688	4.946207991	5.13366912	2.84E-07	2.81E-05	7.749522541	7.851613484	8.597779347	4.571527165	4.499053756	4.61794093	9.014207683	7.356851172	8.511491574
G35308	133.2238223	12.83972437	5.149140739	2.62E-07	2.61E-05	7.132950816	6.916965169	7.288397353	4.231200153	4.203749785	4.249689912	4.163853618	4.159279824	7.037822083
G35231	69.48722202	12.52912071	4.879421492	1.06E-06	8.73E-05	6.466546315	6.224207167	5.399154995	4.34079096	4.331756417	4.347078609	4.319260996	4.317876221	5.930645424
G35478	36.55769699	12.18959904	3.562661697	0.000367114	0.012539391	3.451849756	4.717333086	3.456187725	3.458783778	3.455727181	3.460923231	3.45153515	3.865696353	4.103248883
G35084	60.26508872	3.948284544	4.818285671	1.45E-06	0.000110636	5.815662402	5.859289117	5.937313044	4.92818275	4.923404928	4.931552009	5.954763346	5.813862908	6.087773686
G34574	394.875662	12.21407836	3.57200921	0.000354253	0.012150216	10.89632724	1.565525998	1.996454912	2.137704429	1.967823364	2.234614432	11.30505708	1.572061305	1.697627271
G35161	61.19734586	4.156235102	4.747837907	2.06E-06	0.000149387	6.007625215	5.71631802	6.063793824	4.923748823	4.918826334	4.927218915	5.791159886	5.858687515	6.085674335
G34685	58.13080155	4.55487013	5.442346943	5.26E-08	6.75E-06	5.904508583	5.831868111	6.141857279	4.879461173	4.874837738	4.882722037	5.690677372	5.597022879	5.815011762
G34699	89.02627182	10.63236553	3.094437716	0.001971863	0.047341866	6.134019995	3.74947544	3.778671389	3.792665099	3.77614465	3.803895662	6.173153931	6.101601982	3.756627147
G35394	1869.524218	-0.925870614	-3.231582985	0.001231066	0.032999732	10.12158731	10.33978159	10.36853691	11.2661782	11.12908765	11.3722282	10.91188904	10.863821	10.71611046
G35061	98.11378447	4.965967654	6.24793379	4.16E-10	1.51E-07	6.689957161	6.663461021	6.941839184	5.061380293	5.051111369	5.068546403	6.170179708	6.547274244	6.46545811
G34769	514.5838803	1.870087254	6.602330846	4.05E-11	2.42E-08	9.508281279	9.838625182	9.555996804	8.257505025	8.019824386	8.036663218	8.236055611	8.451858894	8.583256641
G34771	67.46161789	11.83954697	3.456991122	0.000546243	0.01749127	6.140084129	6.011765941	3.960940227	3.970062405	3.95930983	3.977495943	3.944293085	6.157411023	3.946890204
G34555	7118.936044	2.492227648	8.420612574	3.75E-17	1.03E-13	13.67689501	13.60881644	13.52775915	10.15693343	10.88351257	10.19922213	12.34625952	12.69046388	12.2543863
G32902	40.28131205	11.0048104	3.20095447	0.001369732	0.035510135	4.603640912	3.392127353	3.398599524	3.401830533	4.706083576	3.404483948	3.392777267	3.392196907	3.393679149
G34517	75.03871431	5.252458756	5.196303467	2.03E-07	2.12E-05	6.463867627	6.374980298	6.40497459	4.860678851	4.853288133	4.86585853	6.110662098	5.279086798	5.705901104
G35049	33.13814622	8.988266886	4.782178675	1.73E-06	0.000128818	5.218039435	4.64114679	5.121009992	3.873878605	3.870676336	3.876135228	3.866325947	3.865849464	3.86706823
G35527	82.33283157	11.95162265	3.491343821	0.000480597	0.015734339	5.755401508	6.09773075	3.797156085	3.809115966	3.795002924	3.81875618	6.03481947	3.772672524	3.778438914
G34610	16615.75826	1.365547127	6.048205113	1.46E-09	4.33E-07	14.62732522	14.65520211	14.45898187	12.94999556	12.63640437	12.69014634	14.21443479	13.86952089	13.95719013
G34813	32.60105499	4.571882134	5.238889863	1.62E-07	1.74E-05	5.018183605	5.13087714	5.248315367	4.419288246	4.417262058	4.420725962	4.804368533	4.794211253	4.760150255
G3763	336.9119793	2.385327653	3.384726235	0.000712493	0.021460282	8.383194359	9.331853632	9.055163235	6.58886275	7.56517925	6.300600556	7.541310995	7.739723394	7.970884086
G3782	219.6653022	6.881204755	4.940712789	7.78E-07	6.61E-05	7.415443158	9.424220396	5.772410146	3.943760227	3.879123809	3.985084032	5.001515546	5.566312569	6.868068986
G3783	49.94620012	3.567042333	3.437959309	0.000586116	0.01835462	5.768506167	5.45503367	5.199293947	4.759856452	4.756077703	4.762526102	5.557414867	5.666225034	5.862164378
G3838	34.95161237	3.697942853	3.664942468	0.000247394	0.008870849	5.013728196	4.980677783	5.294201052	4.511388081	4.509086201	4.513019673	5.261281573	4.985181572	5.069646252
G3823	27.73642643	4.070234671	3.711317439	0.000206183	0.007556711	4.638948872	4.748051122	5.032205093	4.328310298	4.327119054	4.329158399	4.667041755	4.580008646	4.746580023
G3879	371.49163	2.193587646	3.769425866	0.000163623	0.006274507	8.943076485	8.590952803	9.674064023	7.669273488	7.292467947	7.330916107	7.803630687	8.175503667	7.315003095
G3942	87.46478107	-9.73389881	-3.493472597	0.000476782	0.015648058	4.297799265	4.293992735	4.317328011	4.328773239	6.677574078	6.194240326	5.875119067	6.747279711	4.299640157
G4194	50.78390334	4.231300678	4.689081154	2.74E-06	0.000191826	5.704318072	5.837629742	5.588212068	4.80680367	4.803024408	4.80947415	5.574811954	5.394808641	5.77148188
G4233	252.3538362	2.916742689	4.835072002	1.33E-06	0.000105497	9.139907693	8.270710643	7.875891325	6.644965803	6.054789822	6.277517404	7.090667463	6.874419549	7.243256157
G4303	1439.247403	3.444498359	3.253816363	0.001138659	0.031127093	10.9182502	11.48472541	11.40149486	6.48718135	8.040928491	7.164639376	9.817247375	10.12002165	5.390753954
G4252	22333.20316	1.601359379	4.200784379	2.66E-05	0.001347529	14.86635283	14.68332255	15.64196798	13.29746852	13.31183601	13.32105844	14.05292486	14.41812222	13.9566923
G4368	70.19934889	11.78477597	3.439925058	0.000581875	0.018284697	5.325901573	3.267326964	3.287779657	3.297575694	3.28601017	5.34612607	3.269434109	3.267553066	3.272337729
G4337	27.49581591	11.23703326	3.271903554	0.00106826	0.029579654	5.088442148	3.590014136	3.594524861	3.596814431	3.594120401	3.598713651	3.992918138	3.590062078	4.50118315
G4385	260.3428454	-1.713232731	-3.187264644	0.001436253	0.036999576	7.066814234	7.235943354	7.149196176	8.510296129	8.292377158	8.102622308	8.362720092	8.155959931	7.449165396
G4393	7020.166569	2.289056207	5.542229334	2.99E-08	4.28E-06	13.43377534	13.83966345	13.5734649	10.98008169	11.3936252	10.90335912	11.61922011	12.76691769	11.82876851
G4434	67.03594348	4.18663954	5.197758732	2.02E-07	2.11E-05	5.919745029	6.042845808	6.231317331	4.984598918	4.979044202	4.988510413	6.116997173	6.042708769	6.051950384
G4512	2243.902711	2.118331685	5.284863515	1.26E-07	1.44E-05	12.0838397	12.16944681	11.12270422	9.472016645	9.592201629	9.083401316	10.95284649	10.76493104	10.63381273
G4616	52.13571957	11.78740382	3.44080567	0.000579985	0.018284697	3.383657462	5.059550123	3.392583433	3.397829783	3.391645404	3.40210199	4.797020585	3.382037725	3.384497294
G4650	40.10657591	3.736102806	3.383601903	0.000715417	0.021509238	5.007094954	5.491223161	5.245759503	4.596665404	4.593870867	4.598643941	5.060042909	5.269708689	5.5262464
G4681	21.21087227	11.61421695	3.386031275	0.000709113	0.021438063	4.071889639	3.077579096	3.080078531	3.081347877	3.079854343	3.08240114	3.077827489	3.666214166	3.078173139
G4751	16.22478562	-7.305179946	-3.359020418	0.000782193	0.023097696	3.686589546	3.686400391	3.687592931	3.966073845	4.157908526	3.688721656	4.019700866	3.883843376	3.914211694
G4813	487.5750196	-1.035050939	-3.421142457	0.000623587	0.019381492	8.344364311	8.475368433	8.232463052	9.365064658	9.138659976	9.198240512	8.989007526	8.991324728	8.882093897
G4904	22.26893571	4.10105811	4.228629719	2.35E-05	0.001205876	4.60869278	4.502048503	4.535323788	4.066071159	4.064778681	4.066989549	4.41343489	4.280983776	4.330231881
G4930	64.97492557	4.806375747	5.704502209	1.17E-08	2.28E-06	6.245890161	6.250615141	5.97927502	4.915651454	4.910158259	4.919518947	5.896372115	5.586585446	5.843007028
G4984	179.7351664	6.132023588	6.396883818	1.59E-10	6.57E-08	7.885143015	7.914006625	7.704976932	4.718569337	4.685719555	4.740635199	6.744203689	7.086967734	5.70327078
G4974	20.05482775	10.9285909	3.177014231	0.001487997	0.038099172	4.577441505	3.478101039	3.480770648	3.482134108	3.480530376	3.483269389	3.478365444	4.102963462	3.83377403
G5134	58.4449876	4.329749182	5.044749844	4.54E-07	4.20E-05	6.000338881	5.754239235	6.007102604	4.897130823	4.89251506	4.900386574	5.631448083	5.779257996	5.944978026
G5256	23882.87506	-1.11609931	-4.083764978	4.43E-05	0.002091368	13.62929794	13.86610396	13.89068248	14.87301041	14.77522282	15.12232634	14.80557357	14.52647516	14.48229128
G5305	1200.015911	2.515986252	4.019274656	5.84E-05	0.002682518	10.38249514	11.53261961	10.98249985	7.829838141	9.451737815	8.261859487	9.521389994	9.177189885	9.12360977
G5337	52.84740388	4.352477764	4.400428297	1.08E-05	0.00062144	5.971333551	5.391550988	5.868623563	4.796070867	4.791956679	4.798975063	5.613186036	5.734558009	5.419462024
G5448	24.6287985	4.254076382	3.425964423	0.000612621	0.019076453	4.480184235	4.338181573	4.960015745	4.060468129	4.058852325	4.06161438	4.473719166	4.333906933	4.303397177
