GO.ID	Term	Annotated	Significant	Expected	weightFisher	Genes	p.adj
GO:0061885	positive regulation of mini excitatory p...	2	2	0.05	0.0007	"G23864,G32110"	0.01395
GO:1901098	positive regulation of autophagosome mat...	8	3	0.21	0.00093	"G23864,G3151,G32110"	0.01395
GO:0046827	positive regulation of protein export fr...	8	3	0.21	0.00093	"G25702,G28063,G9709"	0.01395
GO:0031649	heat generation	13	3	0.34	0.00402	"G23864,G2998,G32110"	0.014982
GO:1901388	regulation of transforming growth factor...	41	3	1.08	0.00403	"G32776,G32844,G6988"	0.014982
GO:0060309	elastin catabolic process	4	2	0.11	0.00403	"G28085,G9704"	0.014982
GO:0002025	norepinephrine-epinephrine-mediated vaso...	4	2	0.11	0.00403	"G23864,G32110"	0.014982
GO:0045213	neurotransmitter receptor metabolic proc...	4	2	0.11	0.00403	"G14326,G25300"	0.014982
GO:0006644	phospholipid metabolic process	362	15	9.56	0.00512	"G10472,G13102,G17041,G17182,G21079,G22239,G26574,G2664,G27086,G29376,G32416,G34555,G34769,G34870,G4974"	0.014982
GO:0043691	reverse cholesterol transport	14	3	0.37	0.00536	"G17206,G32075,G458"	0.014982
GO:0021785	branchiomotor neuron axon guidance	5	2	0.13	0.0066	"G24949,G25702"	0.014982
GO:0001827	inner cell mass cell fate commitment	5	2	0.13	0.0066	"G16734,G23735"	0.014982
GO:0060336	negative regulation of type II interfero...	30	4	0.79	0.00764	"G14014,G22071,G25768,G26256"	0.014982
GO:0006357	regulation of transcription by RNA polym...	1650	59	43.57	0.00841	"G10071,G11398,G12356,G1241,G12568,G15222,G15363,G17102,G17412,G18644,G19339,G19375,G20353,G20472,G21273,G21349,G2146,G21643,G21744,G22176,G23388,G23735,G23864,G2430,G24602,G25183,G25232,G25295,G25480,G25702,G26256,G26574,G26881,G28063,G28085,G30176,G31062,G31139,G32110,G32134,G3301,G33256,G3364,G34685,G34699,G35049,G35061,G35084,G3783,G4194,G5636,G5713,G5960,G6107,G6430,G7014,G946,G9709,G978"	0.014982
GO:0051444	negative regulation of ubiquitin-protein...	27	5	0.71	0.00935	"G22071,G25702,G35273,G4337,G6845"	0.014982
GO:0006751	glutathione catabolic process	17	3	0.45	0.00944	"G13000,G27951,G32577"	0.014982
GO:1904799	regulation of neuron remodeling	7	3	0.18	0.00969	"G11398,G17893,G33287"	0.014982
GO:0007190	activation of adenylate cyclase activity	6	2	0.16	0.00973	"G23864,G32110"	0.014982
GO:0015829	valine transport	6	2	0.16	0.00973	"G20637,G27691"	0.014982
GO:0045039	protein insertion into mitochondrial inn...	6	2	0.16	0.00973	"G13193,G23527"	0.014982
GO:0045930	negative regulation of mitotic cell cycl...	199	8	5.25	0.0111	"G17893,G1953,G2430,G25702,G3151,G33287,G4337,G6845"	0.014982
GO:1990542	mitochondrial transmembrane transport	95	8	2.51	0.01243	"G13193,G1500,G22280,G23527,G27610,G3119,G35527,G946"	0.014982
GO:0090084	negative regulation of inclusion body as...	19	3	0.5	0.01294	"G10079,G35308,G35310"	0.014982
GO:0016045	detection of bacterium	31	3	0.82	0.01336	"G18132,G26574,G7771"	0.014982
GO:0009249	protein lipoylation	7	2	0.18	0.01338	"G1779,G4393"	0.014982
GO:1900451	positive regulation of glutamate recepto...	7	2	0.18	0.01338	"G23864,G32110"	0.014982
GO:0030154	cell differentiation	4567	146	120.6	0.01365	"G10071,G10242,G10474,G1049,G10733,G11398,G11418,G11478,G12356,G1241,G12568,G12770,G12873,G13000,G13102,G13366,G13427,G14438,G14662,G15077,G15086,G15222,G15363,G15508,G15801,G16543,G16734,G17053,G17206,G17384,G17409,G17412,G17415,G17434,G17534,G17536,G17560,G1767,G17893,G18113,G18425,G18426,G18644,G18676,G19339,G19375,G1946,G2014,G20200,G20382,G20472,G20484,G21127,G21167,G21169,G21273,G21323,G21459,G21643,G21744,G22261,G22619,G22848,G23388,G23496,G23597,G23611,G23718,G23725,G23735,G23864,G23894,G24141,G24145,G24146,G24178,G24602,G24936,G24949,G25232,G25295,G25342,G25638,G25702,G25774,G25815,G25946,G26256,G26267,G2664,G26711,G26780,G26881,G27951,G28085,G28195,G2916,G2918,G29365,G29366,G29978,G30011,G30116,G30176,G3085,G3099,G31062,G32075,G32110,G32228,G32416,G32432,G32776,G3301,G33256,G33287,G33325,G3364,G35049,G35084,G35527,G3663,G3668,G3763,G3783,G4337,G4930,G4974,G5134,G5397,G5636,G5662,G6845,G6988,G7000,G7014,G7771,G8125,G8902,G9285,G9450,G946,G9680,G9704,G9707,G9963"	0.014982
